year,borough,major_category,total_crime,Latitude,Longitude
2010,Bexley,Other Notifiable Offences,168,0.110969,51.45964
2010,Bexley,Robbery,246,0.110969,51.45964
2010,Bexley,Theft and Handling,4514,0.110969,51.45964
2010,Bexley,Violence Against the Person,3180,0.110969,51.45964
2010,Brent,Burglary,3445,-0.271275,51.5436
2010,Brent,Criminal Damage,2418,-0.271275,51.5436
2010,Brent,Drugs,2980,-0.271275,51.5436
2010,Brent,Other Notifiable Offences,415,-0.271275,51.5436
2010,Brent,Robbery,1797,-0.271275,51.5436
2010,Brent,Theft and Handling,7932,-0.271275,51.5436
2010,Brent,Violence Against the Person,6525,-0.271275,51.5436
2010,Bromley,Burglary,2953,0.01493,51.4057
2010,Bromley,Criminal Damage,2713,0.01493,51.4057
2010,Bromley,Drugs,1064,0.01493,51.4057
2010,Bromley,Other Notifiable Offences,276,0.01493,51.4057
2010,Bromley,Robbery,580,0.01493,51.4057
2010,Bromley,Theft and Handling,7312,0.01493,51.4057
2010,Bromley,Violence Against the Person,4674,0.01493,51.4057
2010,Camden,Burglary,3217,-0.12796,51.53236
2010,Camden,Criminal Damage,2262,-0.12796,51.53236
2010,Camden,Drugs,2474,-0.12796,51.53236
2010,Camden,Other Notifiable Offences,378,-0.12796,51.53236
2010,Camden,Robbery,1158,-0.12796,51.53236
2010,Camden,Theft and Handling,16425,-0.12796,51.53236
2010,Camden,Violence Against the Person,5890,-0.12796,51.53236
2010,Croydon,Burglary,4219,-0.073803,51.36496
2010,Croydon,Criminal Damage,4002,-0.073803,51.36496
2010,Croydon,Drugs,2277,-0.073803,51.36496
2010,Croydon,Other Notifiable Offences,425,-0.073803,51.36496
2010,Croydon,Robbery,1524,-0.073803,51.36496
2010,Croydon,Theft and Handling,10494,-0.073803,51.36496
2010,Croydon,Violence Against the Person,6432,-0.073803,51.36496
2010,Ealing,Burglary,3738,-0.29991,51.51407
2010,Ealing,Criminal Damage,3472,-0.29991,51.51407
2010,Ealing,Drugs,2510,-0.29991,51.51407
2010,Ealing,Other Notifiable Offences,521,-0.29991,51.51407
2010,Ealing,Robbery,1568,-0.29991,51.51407
2010,Ealing,Theft and Handling,11454,-0.29991,51.51407
2010,Ealing,Violence Against the Person,8097,-0.29991,51.51407
2010,Enfield,Burglary,3324,-0.076348,51.667797
2010,Enfield,Criminal Damage,2861,-0.076348,51.667797
2010,Enfield,Drugs,1649,-0.076348,51.667797
2010,Enfield,Other Notifiable Offences,392,-0.076348,51.667797
2010,Enfield,Robbery,1232,-0.076348,51.667797
2010,Enfield,Theft and Handling,7165,-0.076348,51.667797
2010,Enfield,Violence Against the Person,4185,-0.076348,51.667797
2010,Greenwich,Burglary,2494,0.00257,51.48451
2010,Greenwich,Criminal Damage,2760,0.00257,51.48451
2010,Greenwich,Drugs,987,0.00257,51.48451
2010,Greenwich,Other Notifiable Offences,337,0.00257,51.48451
2010,Greenwich,Robbery,711,0.00257,51.48451
2010,Greenwich,Theft and Handling,6689,0.00257,51.48451
2010,Greenwich,Violence Against the Person,4648,0.00257,51.48451
2010,Hackney,Burglary,1974,-0.05833,51.55
2010,Hackney,Criminal Damage,1911,-0.05833,51.55
2010,Hackney,Drugs,2083,-0.05833,51.55
2010,Hackney,Other Notifiable Offences,292,-0.05833,51.55
2010,Hackney,Robbery,988,-0.05833,51.55
2010,Hackney,Theft and Handling,7736,-0.05833,51.55
2010,Hackney,Violence Against the Person,5191,-0.05833,51.55
2010,Hammersmith and Fulham,Burglary,2226,-0.220817,51.495045
2010,Hammersmith and Fulham,Criminal Damage,1976,-0.220817,51.495045
2010,Hammersmith and Fulham,Drugs,1842,-0.220817,51.495045
2010,Hammersmith and Fulham,Other Notifiable Offences,361,-0.220817,51.495045
2010,Hammersmith and Fulham,Robbery,812,-0.220817,51.495045
2010,Hammersmith and Fulham,Theft and Handling,10017,-0.220817,51.495045
2010,Hammersmith and Fulham,Violence Against the Person,4707,-0.220817,51.495045
2010,Haringey,Burglary,3218,-0.071193,51.58784
2010,Haringey,Criminal Damage,2644,-0.071193,51.58784
2010,Haringey,Drugs,1623,-0.071193,51.58784
2010,Haringey,Other Notifiable Offences,238,-0.071193,51.58784
2010,Haringey,Robbery,1027,-0.071193,51.58784
2010,Haringey,Theft and Handling,8674,-0.071193,51.58784
2010,Haringey,Violence Against the Person,4732,-0.071193,51.58784
2010,Harrow,Burglary,2311,-0.46443,51.4801
2010,Harrow,Criminal Damage,1661,-0.46443,51.4801
2010,Harrow,Drugs,907,-0.46443,51.4801
2010,Harrow,Other Notifiable Offences,217,-0.46443,51.4801
2010,Harrow,Robbery,452,-0.46443,51.4801
2010,Harrow,Theft and Handling,5096,-0.46443,51.4801
2010,Harrow,Violence Against the Person,3301,-0.46443,51.4801
2010,Havering,Burglary,2271,0.255151,51.570454
2010,Havering,Criminal Damage,2112,0.255151,51.570454
2010,Havering,Drugs,989,0.255151,51.570454
2010,Havering,Other Notifiable Offences,213,0.255151,51.570454
2010,Havering,Robbery,377,0.255151,51.570454
2010,Havering,Theft and Handling,5496,0.255151,51.570454
2010,Havering,Violence Against the Person,3499,0.255151,51.570454
2010,Hillingdon,Burglary,2986,-0.44998,51.54304
2010,Hillingdon,Criminal Damage,3084,-0.44998,51.54304
2010,Hillingdon,Drugs,1372,-0.44998,51.54304
2010,Hillingdon,Other Notifiable Offences,608,-0.44998,51.54304
2010,Hillingdon,Robbery,774,-0.44998,51.54304
2010,Hillingdon,Theft and Handling,8678,-0.44998,51.54304
2010,Hillingdon,Violence Against the Person,5919,-0.44998,51.54304
2010,Hounslow,Burglary,2399,-0.361667,51.4675
2010,Hounslow,Criminal Damage,2586,-0.361667,51.4675
2010,Hounslow,Drugs,1703,-0.361667,51.4675
2010,Hounslow,Other Notifiable Offences,363,-0.361667,51.4675
2010,Hounslow,Robbery,562,-0.361667,51.4675
2010,Hounslow,Theft and Handling,6811,-0.361667,51.4675
2010,Hounslow,Violence Against the Person,5241,-0.361667,51.4675
2010,Islington,Burglary,2415,-0.10614,51.53279
2010,Islington,Criminal Damage,2126,-0.10614,51.53279
2010,Islington,Drugs,1816,-0.10614,51.53279
2010,Islington,Other Notifiable Offences,370,-0.10614,51.53279
2010,Islington,Robbery,895,-0.10614,51.53279
2010,Islington,Theft and Handling,11578,-0.10614,51.53279
2010,Islington,Violence Against the Person,5493,-0.10614,51.53279
2010,Kensington and Chelsea,Burglary,1621,-0.192221,51.501205
2010,Kensington and Chelsea,Criminal Damage,1160,-0.192221,51.501205
2010,Kensington and Chelsea,Drugs,2153,-0.192221,51.501205
2010,Kensington and Chelsea,Other Notifiable Offences,242,-0.192221,51.501205
2010,Kensington and Chelsea,Robbery,503,-0.192221,51.501205
2010,Kensington and Chelsea,Theft and Handling,10911,-0.192221,51.501205
2010,Kensington and Chelsea,Violence Against the Person,2891,-0.192221,51.501205
2010,Kingston upon Thames,Burglary,1166,-0.29142,51.41104
2010,Kingston upon Thames,Criminal Damage,1286,-0.29142,51.41104
2010,Kingston upon Thames,Drugs,505,-0.29142,51.41104
2010,Kingston upon Thames,Other Notifiable Offences,147,-0.29142,51.41104
2010,Kingston upon Thames,Robbery,228,-0.29142,51.41104
2010,Kingston upon Thames,Theft and Handling,4696,-0.29142,51.41104
2010,Kingston upon Thames,Violence Against the Person,2143,-0.29142,51.41104
2010,Lambeth,Burglary,3204,-0.11108,51.49085
2010,Lambeth,Criminal Damage,3178,-0.11108,51.49085
2010,Lambeth,Drugs,2950,-0.11108,51.49085
2010,Lambeth,Other Notifiable Offences,448,-0.11108,51.49085
2010,Lambeth,Robbery,2490,-0.11108,51.49085
2010,Lambeth,Theft and Handling,11989,-0.11108,51.49085
2010,Lambeth,Violence Against the Person,7412,-0.11108,51.49085
2010,Lewisham,Burglary,3023,-0.01213,51.45916
2010,Lewisham,Criminal Damage,3130,-0.01213,51.45916
2010,Lewisham,Drugs,2263,-0.01213,51.45916
2010,Lewisham,Other Notifiable Offences,512,-0.01213,51.45916
2010,Lewisham,Robbery,1377,-0.01213,51.45916
2010,Lewisham,Theft and Handling,7899,-0.01213,51.45916
2010,Lewisham,Violence Against the Person,6328,-0.01213,51.45916
2010,Merton,Burglary,2069,-0.166667,51.3833
2010,Merton,Criminal Damage,1808,-0.166667,51.3833
2010,Merton,Drugs,921,-0.166667,51.3833
2010,Merton,Other Notifiable Offences,128,-0.166667,51.3833
2010,Merton,Robbery,542,-0.166667,51.3833
2010,Merton,Theft and Handling,5228,-0.166667,51.3833
2010,Merton,Violence Against the Person,2899,-0.166667,51.3833
2010,Newham,Burglary,3330,0.013242,51.524384
2010,Newham,Criminal Damage,3025,0.013242,51.524384
2010,Newham,Drugs,2772,0.013242,51.524384
2010,Newham,Other Notifiable Offences,438,0.013242,51.524384
2010,Newham,Robbery,2195,0.013242,51.524384
2010,Newham,Theft and Handling,12184,0.013242,51.524384
2010,Newham,Violence Against the Person,6784,0.013242,51.524384
2010,Redbridge,Burglary,3239,0.083333,51.5667
2010,Redbridge,Criminal Damage,2229,0.083333,51.5667
2010,Redbridge,Drugs,1806,0.083333,51.5667
2010,Redbridge,Other Notifiable Offences,193,0.083333,51.5667
2010,Redbridge,Robbery,878,0.083333,51.5667
2010,Redbridge,Theft and Handling,8482,0.083333,51.5667
2010,Redbridge,Violence Against the Person,3825,0.083333,51.5667
2010,Richmond upon Thames,Burglary,1926,-0.312531,51.442757
2010,Richmond upon Thames,Criminal Damage,1465,-0.312531,51.442757
2010,Richmond upon Thames,Drugs,530,-0.312531,51.442757
2010,Richmond upon Thames,Other Notifiable Offences,134,-0.312531,51.442757
2010,Richmond upon Thames,Robbery,163,-0.312531,51.442757
2010,Richmond upon Thames,Theft and Handling,4203,-0.312531,51.442757
2010,Richmond upon Thames,Violence Against the Person,2180,-0.312531,51.442757
2010,Southwark,Burglary,3005,-0.08921,51.50541
2010,Southwark,Criminal Damage,2821,-0.08921,51.50541
2010,Southwark,Drugs,4231,-0.08921,51.50541
2010,Southwark,Other Notifiable Offences,643,-0.08921,51.50541
2010,Southwark,Robbery,2001,-0.08921,51.50541
2010,Southwark,Theft and Handling,11180,-0.08921,51.50541
2010,Southwark,Violence Against the Person,7439,-0.08921,51.50541
2010,Sutton,Burglary,1581,-0.166667,51.3333
2010,Sutton,Criminal Damage,1898,-0.166667,51.3333
2010,Sutton,Drugs,578,-0.166667,51.3333
2010,Sutton,Other Notifiable Offences,119,-0.166667,51.3333
2010,Sutton,Robbery,304,-0.166667,51.3333
2010,Sutton,Theft and Handling,5236,-0.166667,51.3333
2010,Sutton,Violence Against the Person,2316,-0.166667,51.3333
2010,Tower Hamlets,Burglary,2088,-0.05457,51.52017
2010,Tower Hamlets,Criminal Damage,2474,-0.05457,51.52017
2010,Tower Hamlets,Drugs,2828,-0.05457,51.52017
2010,Tower Hamlets,Other Notifiable Offences,347,-0.05457,51.52017
2010,Tower Hamlets,Robbery,894,-0.05457,51.52017
2010,Tower Hamlets,Theft and Handling,8817,-0.05457,51.52017
2010,Tower Hamlets,Violence Against the Person,5624,-0.05457,51.52017
2010,Waltham Forest,Burglary,3426,-0.015955,51.601154
2010,Waltham Forest,Criminal Damage,2564,-0.015955,51.601154
2010,Waltham Forest,Drugs,1762,-0.015955,51.601154
2010,Waltham Forest,Other Notifiable Offences,303,-0.015955,51.601154
2010,Waltham Forest,Robbery,1665,-0.015955,51.601154
2010,Waltham Forest,Theft and Handling,9726,-0.015955,51.601154
2010,Waltham Forest,Violence Against the Person,5372,-0.015955,51.601154
2010,Wandsworth,Burglary,2899,-0.194861,51.4573
2010,Wandsworth,Criminal Damage,2580,-0.194861,51.4573
2010,Wandsworth,Drugs,1261,-0.194861,51.4573
2010,Wandsworth,Other Notifiable Offences,305,-0.194861,51.4573
2010,Wandsworth,Robbery,1186,-0.194861,51.4573
2010,Wandsworth,Theft and Handling,9724,-0.194861,51.4573
2010,Wandsworth,Violence Against the Person,4860,-0.194861,51.4573
2010,Westminster,Burglary,2682,-0.12802,51.50008
2010,Westminster,Criminal Damage,2385,-0.12802,51.50008
2010,Westminster,Drugs,4632,-0.12802,51.50008
2010,Westminster,Other Notifiable Offences,660,-0.12802,51.50008
2010,Westminster,Robbery,1439,-0.12802,51.50008
2010,Westminster,Theft and Handling,29191,-0.12802,51.50008
2010,Westminster,Violence Against the Person,7127,-0.12802,51.50008
2011,Barking and Dagenham,Burglary,2301,0.133158,51.5465
2011,Barking and Dagenham,Criminal Damage,2104,0.133158,51.5465
2011,Barking and Dagenham,Drugs,934,0.133158,51.5465
2011,Barking and Dagenham,Other Notifiable Offences,345,0.133158,51.5465
2011,Barking and Dagenham,Robbery,998,0.133158,51.5465
2011,Barking and Dagenham,Theft and Handling,6070,0.133158,51.5465
2011,Barking and Dagenham,Violence Against the Person,3934,0.133158,51.5465
2011,Barnet,Burglary,4873,-0.19622,51.6455
2011,Barnet,Criminal Damage,2393,-0.19622,51.6455
2011,Barnet,Drugs,1218,-0.19622,51.6455
2011,Barnet,Other Notifiable Offences,285,-0.19622,51.6455
2011,Barnet,Robbery,1159,-0.19622,51.6455
2011,Barnet,Theft and Handling,9952,-0.19622,51.6455
2011,Barnet,Violence Against the Person,4127,-0.19622,51.6455
2011,Bexley,Burglary,1487,0.110969,51.45964
2011,Bexley,Criminal Damage,1708,0.110969,51.45964
2011,Bexley,Drugs,921,0.110969,51.45964
2011,Bexley,Other Notifiable Offences,156,0.110969,51.45964
2011,Bexley,Robbery,348,0.110969,51.45964
2011,Bexley,Theft and Handling,3979,0.110969,51.45964
2011,Bexley,Violence Against the Person,2726,0.110969,51.45964
2011,Brent,Burglary,3675,-0.271275,51.5436
2011,Brent,Criminal Damage,2301,-0.271275,51.5436
2011,Brent,Drugs,4042,-0.271275,51.5436
2011,Brent,Other Notifiable Offences,422,-0.271275,51.5436
2011,Brent,Robbery,2027,-0.271275,51.5436
2011,Brent,Theft and Handling,8398,-0.271275,51.5436
2011,Brent,Violence Against the Person,6804,-0.271275,51.5436
2011,Bromley,Burglary,3119,0.01493,51.4057
2011,Bromley,Criminal Damage,2619,0.01493,51.4057
2011,Bromley,Drugs,1041,0.01493,51.4057
2011,Bromley,Other Notifiable Offences,205,0.01493,51.4057
2011,Bromley,Robbery,684,0.01493,51.4057
2011,Bromley,Theft and Handling,7680,0.01493,51.4057
2011,Bromley,Violence Against the Person,4520,0.01493,51.4057
2011,Camden,Burglary,3409,-0.12796,51.53236
2011,Camden,Criminal Damage,2080,-0.12796,51.53236
2011,Camden,Drugs,2554,-0.12796,51.53236
2011,Camden,Other Notifiable Offences,345,-0.12796,51.53236
2011,Camden,Robbery,1439,-0.12796,51.53236
2011,Camden,Theft and Handling,18573,-0.12796,51.53236
2011,Camden,Violence Against the Person,5556,-0.12796,51.53236
2011,City of London,Theft and Handling,45,-0.09743,51.5205
2011,Croydon,Burglary,4619,-0.073803,51.36496
2011,Croydon,Criminal Damage,3426,-0.073803,51.36496
2011,Croydon,Drugs,2315,-0.073803,51.36496
2011,Croydon,Other Notifiable Offences,427,-0.073803,51.36496
2011,Croydon,Robbery,1762,-0.073803,51.36496
2011,Croydon,Theft and Handling,10727,-0.073803,51.36496
2011,Croydon,Violence Against the Person,6554,-0.073803,51.36496
2011,Ealing,Burglary,3824,-0.29991,51.51407
2011,Ealing,Criminal Damage,3120,-0.29991,51.51407
2011,Ealing,Drugs,2205,-0.29991,51.51407
2011,Ealing,Other Notifiable Offences,550,-0.29991,51.51407
2011,Ealing,Robbery,1429,-0.29991,51.51407
2011,Ealing,Theft and Handling,11309,-0.29991,51.51407
2011,Ealing,Violence Against the Person,7100,-0.29991,51.51407
2011,Enfield,Burglary,3627,-0.076348,51.667797
2011,Enfield,Criminal Damage,2564,-0.076348,51.667797
2011,Enfield,Drugs,1451,-0.076348,51.667797
2011,Enfield,Other Notifiable Offences,375,-0.076348,51.667797
2011,Enfield,Robbery,1103,-0.076348,51.667797
2011,Enfield,Theft and Handling,7847,-0.076348,51.667797
2011,Enfield,Violence Against the Person,4074,-0.076348,51.667797
2011,Greenwich,Burglary,2300,0.00257,51.48451
2011,Greenwich,Criminal Damage,2490,0.00257,51.48451
2011,Greenwich,Drugs,1285,0.00257,51.48451
2011,Greenwich,Other Notifiable Offences,303,0.00257,51.48451
2011,Greenwich,Robbery,741,0.00257,51.48451
2011,Greenwich,Theft and Handling,6878,0.00257,51.48451
2011,Greenwich,Violence Against the Person,4555,0.00257,51.48451
2011,Hackney,Burglary,1968,-0.05833,51.55
2011,Hackney,Criminal Damage,1836,-0.05833,51.55
2011,Hackney,Drugs,2095,-0.05833,51.55
2011,Hackney,Other Notifiable Offences,272,-0.05833,51.55
2011,Hackney,Robbery,993,-0.05833,51.55
2011,Hackney,Theft and Handling,9534,-0.05833,51.55
2011,Hackney,Violence Against the Person,4697,-0.05833,51.55
2011,Hammersmith and Fulham,Burglary,2499,-0.220817,51.495045
2011,Hammersmith and Fulham,Criminal Damage,1723,-0.220817,51.495045
2011,Hammersmith and Fulham,Drugs,1501,-0.220817,51.495045
2011,Hammersmith and Fulham,Other Notifiable Offences,395,-0.220817,51.495045
2011,Hammersmith and Fulham,Robbery,769,-0.220817,51.495045
2011,Hammersmith and Fulham,Theft and Handling,11008,-0.220817,51.495045
2011,Hammersmith and Fulham,Violence Against the Person,4256,-0.220817,51.495045
2011,Haringey,Burglary,3564,-0.071193,51.58784
2011,Haringey,Criminal Damage,2660,-0.071193,51.58784
2011,Haringey,Drugs,1556,-0.071193,51.58784
2011,Haringey,Other Notifiable Offences,233,-0.071193,51.58784
2011,Haringey,Robbery,1383,-0.071193,51.58784
2011,Haringey,Theft and Handling,9191,-0.071193,51.58784
2011,Haringey,Violence Against the Person,4592,-0.071193,51.58784
2011,Harrow,Burglary,2586,-0.46443,51.4801
2011,Harrow,Criminal Damage,1448,-0.46443,51.4801
2011,Harrow,Drugs,679,-0.46443,51.4801
2011,Harrow,Other Notifiable Offences,220,-0.46443,51.4801
2011,Harrow,Robbery,641,-0.46443,51.4801
2011,Harrow,Theft and Handling,4442,-0.46443,51.4801
2011,Harrow,Violence Against the Person,2785,-0.46443,51.4801
2011,Havering,Burglary,2794,0.255151,51.570454
2011,Havering,Criminal Damage,1791,0.255151,51.570454
2011,Havering,Drugs,1011,0.255151,51.570454
2011,Havering,Other Notifiable Offences,229,0.255151,51.570454
2011,Havering,Robbery,467,0.255151,51.570454
2011,Havering,Theft and Handling,6054,0.255151,51.570454
2011,Havering,Violence Against the Person,3150,0.255151,51.570454
2011,Hillingdon,Burglary,3615,-0.44998,51.54304
2011,Hillingdon,Criminal Damage,2808,-0.44998,51.54304
2011,Hillingdon,Drugs,1531,-0.44998,51.54304
2011,Hillingdon,Other Notifiable Offences,570,-0.44998,51.54304
2011,Hillingdon,Robbery,862,-0.44998,51.54304
2011,Hillingdon,Theft and Handling,9554,-0.44998,51.54304
2011,Hillingdon,Violence Against the Person,5342,-0.44998,51.54304
2011,Hounslow,Burglary,2665,-0.361667,51.4675
2011,Hounslow,Criminal Damage,2503,-0.361667,51.4675
2011,Hounslow,Drugs,1629,-0.361667,51.4675
2011,Hounslow,Other Notifiable Offences,463,-0.361667,51.4675
2011,Hounslow,Robbery,632,-0.361667,51.4675
2011,Hounslow,Theft and Handling,8127,-0.361667,51.4675
2011,Hounslow,Violence Against the Person,5086,-0.361667,51.4675
2011,Islington,Burglary,2669,-0.10614,51.53279
2011,Islington,Criminal Damage,1967,-0.10614,51.53279
2011,Islington,Drugs,1664,-0.10614,51.53279
2011,Islington,Other Notifiable Offences,336,-0.10614,51.53279
2011,Islington,Robbery,1117,-0.10614,51.53279
2011,Islington,Theft and Handling,12287,-0.10614,51.53279
2011,Islington,Violence Against the Person,4940,-0.10614,51.53279
2011,Kensington and Chelsea,Burglary,1730,-0.192221,51.501205
2011,Kensington and Chelsea,Criminal Damage,1148,-0.192221,51.501205
2011,Kensington and Chelsea,Drugs,1627,-0.192221,51.501205
2011,Kensington and Chelsea,Other Notifiable Offences,171,-0.192221,51.501205
2011,Kensington and Chelsea,Robbery,609,-0.192221,51.501205
2011,Kensington and Chelsea,Theft and Handling,11124,-0.192221,51.501205
2011,Kensington and Chelsea,Violence Against the Person,2737,-0.192221,51.501205
2011,Kingston upon Thames,Burglary,1320,-0.29142,51.41104
2011,Kingston upon Thames,Criminal Damage,1134,-0.29142,51.41104
2011,Kingston upon Thames,Drugs,658,-0.29142,51.41104
2011,Kingston upon Thames,Other Notifiable Offences,130,-0.29142,51.41104
2011,Kingston upon Thames,Robbery,236,-0.29142,51.41104
2011,Kingston upon Thames,Theft and Handling,4531,-0.29142,51.41104
2011,Kingston upon Thames,Violence Against the Person,2146,-0.29142,51.41104
2011,Lambeth,Burglary,3743,-0.11108,51.49085
2011,Lambeth,Criminal Damage,2971,-0.11108,51.49085
2011,Lambeth,Drugs,2920,-0.11108,51.49085
2011,Lambeth,Other Notifiable Offences,367,-0.11108,51.49085
2011,Lambeth,Robbery,2935,-0.11108,51.49085
2011,Lambeth,Theft and Handling,13374,-0.11108,51.49085
2011,Lambeth,Violence Against the Person,6914,-0.11108,51.49085
2011,Lewisham,Burglary,3116,-0.01213,51.45916
2011,Lewisham,Criminal Damage,2801,-0.01213,51.45916
2011,Lewisham,Drugs,2061,-0.01213,51.45916
2011,Lewisham,Other Notifiable Offences,415,-0.01213,51.45916
2011,Lewisham,Robbery,1593,-0.01213,51.45916
2011,Lewisham,Theft and Handling,8123,-0.01213,51.45916
2011,Lewisham,Violence Against the Person,6092,-0.01213,51.45916
2011,Merton,Burglary,2396,-0.166667,51.3833
2011,Merton,Criminal Damage,1681,-0.166667,51.3833
2011,Merton,Drugs,1000,-0.166667,51.3833
2011,Merton,Other Notifiable Offences,104,-0.166667,51.3833
2011,Merton,Robbery,631,-0.166667,51.3833
2011,Merton,Theft and Handling,5201,-0.166667,51.3833
2011,Merton,Violence Against the Person,2535,-0.166667,51.3833
2011,Newham,Burglary,3040,0.013242,51.524384
2011,Newham,Criminal Damage,2477,0.013242,51.524384
2011,Newham,Drugs,2160,0.013242,51.524384
2011,Newham,Other Notifiable Offences,426,0.013242,51.524384
2011,Newham,Robbery,2264,0.013242,51.524384
2011,Newham,Theft and Handling,11464,0.013242,51.524384
2011,Newham,Violence Against the Person,6147,0.013242,51.524384
2011,Redbridge,Burglary,3712,0.083333,51.5667
2011,Redbridge,Criminal Damage,2274,0.083333,51.5667
2011,Redbridge,Drugs,2253,0.083333,51.5667
2011,Redbridge,Other Notifiable Offences,255,0.083333,51.5667
2011,Redbridge,Robbery,1098,0.083333,51.5667
2011,Redbridge,Theft and Handling,8803,0.083333,51.5667
2011,Redbridge,Violence Against the Person,3599,0.083333,51.5667
2011,Richmond upon Thames,Burglary,2060,-0.312531,51.442757
2011,Richmond upon Thames,Criminal Damage,1377,-0.312531,51.442757
2011,Richmond upon Thames,Drugs,529,-0.312531,51.442757
2011,Richmond upon Thames,Other Notifiable Offences,124,-0.312531,51.442757
2011,Richmond upon Thames,Robbery,197,-0.312531,51.442757
2011,Richmond upon Thames,Theft and Handling,4723,-0.312531,51.442757
2011,Richmond upon Thames,Violence Against the Person,1886,-0.312531,51.442757
2011,Southwark,Burglary,3259,-0.08921,51.50541
2011,Southwark,Criminal Damage,2948,-0.08921,51.50541
2011,Southwark,Drugs,3128,-0.08921,51.50541
2011,Southwark,Other Notifiable Offences,458,-0.08921,51.50541
2011,Southwark,Robbery,2212,-0.08921,51.50541
2011,Southwark,Theft and Handling,12513,-0.08921,51.50541
2011,Southwark,Violence Against the Person,6205,-0.08921,51.50541
2011,Sutton,Burglary,1609,-0.166667,51.3333
2011,Sutton,Criminal Damage,1557,-0.166667,51.3333
2011,Sutton,Drugs,553,-0.166667,51.3333
2011,Sutton,Other Notifiable Offences,101,-0.166667,51.3333
2011,Sutton,Robbery,293,-0.166667,51.3333
2011,Sutton,Theft and Handling,4630,-0.166667,51.3333
2011,Sutton,Violence Against the Person,2325,-0.166667,51.3333
2011,Tower Hamlets,Burglary,2495,-0.05457,51.52017
2011,Tower Hamlets,Criminal Damage,2274,-0.05457,51.52017
2011,Tower Hamlets,Drugs,3109,-0.05457,51.52017
2011,Tower Hamlets,Other Notifiable Offences,403,-0.05457,51.52017
2011,Tower Hamlets,Robbery,1315,-0.05457,51.52017
2011,Tower Hamlets,Theft and Handling,9934,-0.05457,51.52017
2011,Tower Hamlets,Violence Against the Person,5182,-0.05457,51.52017
2011,Waltham Forest,Burglary,3347,-0.015955,51.601154
2011,Waltham Forest,Criminal Damage,2346,-0.015955,51.601154
2011,Waltham Forest,Drugs,1240,-0.015955,51.601154
2011,Waltham Forest,Other Notifiable Offences,266,-0.015955,51.601154
2011,Waltham Forest,Robbery,1714,-0.015955,51.601154
2011,Waltham Forest,Theft and Handling,9863,-0.015955,51.601154
2011,Waltham Forest,Violence Against the Person,4938,-0.015955,51.601154
2011,Wandsworth,Burglary,2993,-0.194861,51.4573
2011,Wandsworth,Criminal Damage,2137,-0.194861,51.4573
2011,Wandsworth,Drugs,1006,-0.194861,51.4573
2011,Wandsworth,Other Notifiable Offences,260,-0.194861,51.4573
2011,Wandsworth,Robbery,1212,-0.194861,51.4573
2011,Wandsworth,Theft and Handling,9825,-0.194861,51.4573
2011,Wandsworth,Violence Against the Person,3951,-0.194861,51.4573
2011,Westminster,Burglary,2900,-0.12802,51.50008
2011,Westminster,Criminal Damage,2246,-0.12802,51.50008
2011,Westminster,Drugs,5670,-0.12802,51.50008
2011,Westminster,Other Notifiable Offences,652,-0.12802,51.50008
2011,Westminster,Robbery,1814,-0.12802,51.50008
2011,Westminster,Theft and Handling,33529,-0.12802,51.50008
2011,Westminster,Violence Against the Person,7432,-0.12802,51.50008
2012,Barking and Dagenham,Burglary,2435,0.133158,51.5465
2012,Barking and Dagenham,Criminal Damage,1696,0.133158,51.5465
2012,Barking and Dagenham,Drugs,949,0.133158,51.5465
2012,Barking and Dagenham,Other Notifiable Offences,257,0.133158,51.5465
2012,Barking and Dagenham,Robbery,746,0.133158,51.5465
2012,Barking and Dagenham,Theft and Handling,6173,0.133158,51.5465
2012,Barking and Dagenham,Violence Against the Person,3734,0.133158,51.5465
2012,Barnet,Burglary,4830,-0.19622,51.6455
2012,Barnet,Criminal Damage,1985,-0.19622,51.6455
2012,Barnet,Drugs,942,-0.19622,51.6455
2012,Barnet,Other Notifiable Offences,281,-0.19622,51.6455
2012,Barnet,Robbery,1142,-0.19622,51.6455
2012,Barnet,Theft and Handling,10451,-0.19622,51.6455
2012,Barnet,Violence Against the Person,3942,-0.19622,51.6455
2012,Bexley,Burglary,1693,0.110969,51.45964
2012,Bexley,Criminal Damage,1596,0.110969,51.45964
2012,Bexley,Drugs,792,0.110969,51.45964
2012,Bexley,Other Notifiable Offences,199,0.110969,51.45964
2012,Bexley,Robbery,231,0.110969,51.45964
2012,Bexley,Theft and Handling,4414,0.110969,51.45964
2012,Bexley,Violence Against the Person,2744,0.110969,51.45964
2012,Brent,Burglary,3936,-0.271275,51.5436
2012,Brent,Criminal Damage,2161,-0.271275,51.5436
2012,Brent,Drugs,3428,-0.271275,51.5436
2012,Brent,Other Notifiable Offences,456,-0.271275,51.5436
2012,Brent,Robbery,1643,-0.271275,51.5436
2012,Brent,Theft and Handling,8338,-0.271275,51.5436
2012,Brent,Violence Against the Person,6395,-0.271275,51.5436
2012,Bromley,Burglary,3445,0.01493,51.4057
2012,Bromley,Criminal Damage,2250,0.01493,51.4057
2012,Bromley,Drugs,1013,0.01493,51.4057
2012,Bromley,Other Notifiable Offences,241,0.01493,51.4057
2012,Bromley,Robbery,601,0.01493,51.4057
2012,Bromley,Theft and Handling,7929,0.01493,51.4057
2012,Bromley,Violence Against the Person,4143,0.01493,51.4057
